Caso,nt,nw,Tiempo_Sin_Poda,Tiempo_Con_Poda,Diferencia_Absoluta,Diferencia_Porcentual,Ratio,Resultado
1,7,8,7.4665,0.009174,7.45732,99.8771,813.876,ConPoda mejor
2,7,9,12.4566,0.009395,12.4472,99.9246,1325.87,ConPoda mejor
3,7,9,7.95252,0.006628,7.94589,99.9167,1199.84,ConPoda mejor
4,7,4,0.082203,0.001866,0.080337,97.73,44.0531,ConPoda mejor
5,7,8,4.83472,0.01212,4.82259,99.7493,398.904,ConPoda mejor
6,7,9,22.4442,0.008313,22.4359,99.963,2699.89,ConPoda mejor
7,7,9,12.6065,0.015617,12.5909,99.8761,807.229,ConPoda mejor
8,7,9,8.95889,0.008716,8.95017,99.9027,1027.87,ConPoda mejor
9,7,8,5.55309,0.009566,5.54352,99.8277,580.503,ConPoda mejor
10,7,7,2.97319,0.005411,2.96778,99.818,549.471,ConPoda mejor
11,7,4,0.031784,0.001915,0.029869,93.975,16.5974,ConPoda mejor
12,7,10,29.9959,0.017037,29.9789,99.9432,1760.64,ConPoda mejor
13,7,7,1.04872,0.006039,1.04269,99.4242,173.659,ConPoda mejor
14,7,4,0.087406,0.002742,0.084664,96.8629,31.8767,ConPoda mejor
15,7,10,13.3995,0.013661,13.3859,99.898,980.859,ConPoda mejor
16,7,5,0.180272,0.002053,0.178219,98.8612,87.8091,ConPoda mejor
17,7,5,0.082329,0.001703,0.080626,97.9315,48.3435,ConPoda mejor
18,7,10,10.6625,0.01045,10.652,99.902,1020.33,ConPoda mejor
19,7,10,23.9725,0.016561,23.956,99.9309,1447.53,ConPoda mejor
20,7,6,0.338,0.003166,0.334834,99.0633,106.759,ConPoda mejor
21,7,5,0.33086,0.005588,0.325272,98.3111,59.209,ConPoda mejor
22,7,8,4.28239,0.004608,4.27779,99.8924,929.339,ConPoda mejor
23,7,7,2.41653,0.003705,2.41282,99.8467,652.234,ConPoda mejor
24,7,9,20.3048,0.012692,20.2921,99.9375,1599.81,ConPoda mejor
25,7,9,16.7021,0.01488,16.6872,99.9109,1122.45,ConPoda mejor
26,7,5,0.124282,0.002267,0.122015,98.1759,54.8222,ConPoda mejor
27,7,7,3.14641,0.004667,3.14175,99.8517,674.183,ConPoda mejor
28,7,7,1.18244,0.004394,1.17805,99.6284,269.104,ConPoda mejor
29,7,10,34.3084,0.017496,34.2909,99.949,1960.93,ConPoda mejor
30,7,8,8.59058,0.007657,8.58292,99.9109,1121.92,ConPoda mejor
31,7,9,15.6524,0.005607,15.6467,99.9642,2791.57,ConPoda mejor
32,7,7,1.29378,0.005823,1.28796,99.5499,222.184,ConPoda mejor
33,7,7,2.74708,0.005756,2.74132,99.7905,477.255,ConPoda mejor
34,7,9,11.3772,0.020962,11.3562,99.8158,542.751,ConPoda mejor
35,7,9,15.7319,0.007078,15.7248,99.955,2222.65,ConPoda mejor
36,7,5,0.137292,0.003875,0.133417,97.1775,35.4302,ConPoda mejor
37,7,5,0.078784,0.002884,0.0759,96.3394,27.3176,ConPoda mejor
38,7,9,23.0696,0.012133,23.0575,99.9474,1901.39,ConPoda mejor
39,7,5,0.135858,0.001671,0.134187,98.77,81.3034,ConPoda mejor
40,7,5,0.071958,0.002628,0.06933,96.3479,27.3813,ConPoda mejor
41,7,6,0.539823,0.00174,0.538083,99.6777,310.243,ConPoda mejor
42,7,8,5.49114,0.007113,5.48403,99.8705,771.987,ConPoda mejor
43,7,8,2.63105,0.009801,2.62125,99.6275,268.448,ConPoda mejor
44,7,6,0.621408,0.005107,0.616301,99.1782,121.678,ConPoda mejor
45,7,4,0.018116,0.003307,0.014809,81.7454,5.47808,ConPoda mejor
46,7,5,0.091019,0.003724,0.087295,95.9085,24.4412,ConPoda mejor
47,7,7,2.50513,0.011534,2.4936,99.5396,217.195,ConPoda mejor
48,7,9,15.3171,0.014384,15.3028,99.9061,1064.87,ConPoda mejor
49,7,4,0.005217,0.00189,0.003327,63.7723,2.76032,ConPoda mejor
50,7,6,0.879811,0.005288,0.874523,99.399,166.379,ConPoda mejor
